Algorithm,DataType,Size,TimeMicroseconds,Comparisons
TernaryQuickSort,ReverseSorted,1600,3425.8,49866
StringMergeSort,ReverseSorted,1600,17643.3,6292
MSDRadixSort,ReverseSorted,1600,3067.9,0
MSDRadixSortWithCutoff,ReverseSorted,1600,2347,24592
StandardQuickSort,ReverseSorted,1700,1134.3,22892
StandardMergeSort,ReverseSorted,1700,2083.4,12469
TernaryQuickSort,ReverseSorted,1700,3704.5,53835
StringMergeSort,ReverseSorted,1700,19060.4,6713
MSDRadixSort,ReverseSorted,1700,3309.5,0
MSDRadixSortWithCutoff,ReverseSorted,1700,2480.6,26211
StandardQuickSort,ReverseSorted,1800,1191.9,24142
StandardMergeSort,ReverseSorted,1800,2218.1,13410
TernaryQuickSort,ReverseSorted,1800,4226.2,61614
StringMergeSort,ReverseSorted,1800,19831.3,6968
MSDRadixSort,ReverseSorted,1800,3548.3,0
MSDRadixSortWithCutoff,ReverseSorted,1800,2623.1,27651
StandardQuickSort,ReverseSorted,1900,1261.4,25278
StandardMergeSort,ReverseSorted,1900,2335.4,14016
TernaryQuickSort,ReverseSorted,1900,4544.2,66055
StringMergeSort,ReverseSorted,1900,20757.4,7292
MSDRadixSort,ReverseSorted,1900,3728.2,0
MSDRadixSortWithCutoff,ReverseSorted,1900,2761.4,29065
StandardQuickSort,ReverseSorted,2000,1309.4,26501
StandardMergeSort,ReverseSorted,2000,2449.5,14780
TernaryQuickSort,ReverseSorted,2000,5021.6,73608
StringMergeSort,ReverseSorted,2000,21732.9,7632
MSDRadixSort,ReverseSorted,2000,3949.9,0
MSDRadixSortWithCutoff,ReverseSorted,2000,2913.5,30614
StandardQuickSort,ReverseSorted,2100,1424.2,29576
StandardMergeSort,ReverseSorted,2100,2548.8,15469
TernaryQuickSort,ReverseSorted,2100,5380.9,79089
StringMergeSort,ReverseSorted,2100,24498.3,7941
MSDRadixSort,ReverseSorted,2100,4123.2,0
MSDRadixSortWithCutoff,ReverseSorted,2100,3080.1,31990
StandardQuickSort,ReverseSorted,2200,1590.4,33558
StandardMergeSort,ReverseSorted,2200,2642.4,16307
TernaryQuickSort,ReverseSorted,2200,5799,85086
StringMergeSort,ReverseSorted,2200,25594,8484
MSDRadixSort,ReverseSorted,2200,4270,0
